kana³;kontrola bl.;protokol;packetSize;iloscPackietow;errorRate;avBER;avOpTime;avResendPCounter
BSC;PB;GBN;8;10;1000;0.008800;0.000663;0.203028;0.812755
BSC;PB;GBN;8;10;1000;0.009000;0.000451;0.202955;0.811813
BSC;PB;GBN;8;10;1000;0.009200;0.000525;0.206789;0.841812
BSC;PB;GBN;8;10;1000;0.009400;0.000738;0.217773;0.907842
BSC;PB;GBN;8;10;1000;0.009600;0.000626;0.213446;0.877908
BSC;PB;GBN;8;10;1000;0.009800;0.001001;0.210993;0.867878
BSC;PB;GBN;8;10;1000;0.010000;0.000801;0.218443;0.911868
BSC;PB;GBN;16;10;1000;0.000200;0.000000;0.177344;0.034000
BSC;PB;GBN;16;10;1000;0.000400;0.000000;0.183250;0.060034
BSC;PB;GBN;16;10;1000;0.000600;0.000013;0.191365;0.097060
BSC;PB;GBN;16;10;1000;0.000800;0.000025;0.199669;0.135097
BSC;PB;GBN;16;10;1000;0.001000;0.000000;0.208654;0.172135
BSC;PB;GBN;16;10;1000;0.001200;0.000013;0.216891;0.213172
